Fecha,Jugador,Cofre
2026-03-02 11:42:49,Durea,Cripta rara de nivel 20
2026-03-02 11:42:52,Dariine,Cripta de nivel 5
2026-03-02 11:42:56,Yime,Cripta de nivel 15
2026-03-02 11:43:01,Yime,Cripta de nivel 20
2026-03-02 11:43:05,Durea,Cripta de nivel 20
2026-03-02 11:43:09,Yime,Cripta de nivel 20
2026-03-02 11:43:13,Yime,Cripta de nivel 20
2026-03-02 11:43:17,Durea,Cripta de nivel 20
2026-03-02 11:43:22,Yime,Cripta de nivel 20
2026-03-02 11:43:29,Yime,Cripta de nivel 20
2026-03-02 11:43:31,Yime,Cripta de nivel 20
2026-03-02 11:43:35,Yime,Cripta de nivel 20
2026-03-02 11:43:38,Yime,Cripta de nivel 20
2026-03-02 11:43:42,Durea,Cripta de nivel 10
2026-03-02 11:43:46,Yime,Cripta de nivel 15
2026-03-02 11:43:50,Yime,Cripta de nivel 15
2026-03-02 11:43:54,Yime,Cripta de nivel 15
2026-03-02 11:44:00,Durea,Cripta de nivel 15
2026-03-02 11:44:04,Yime,Cripta de nivel 15
2026-03-02 11:44:08,lau,Cripta de nivel 10
2026-03-02 11:44:12,lau,Cripta de nivel 10
2026-03-02 11:44:15,lau,Cripta de nivel 10
2026-03-02 11:44:19,lau,Cripta de nivel 10
2026-03-02 11:44:23,lau,Cripta de nivel 10
2026-03-02 11:44:27,Maginad,-Cripta de nivel 20
2026-03-02 11:44:30,lau,Cripta de nivel 10
2026-03-02 11:44:34,lau,Cripta de nivel 15
2026-03-02 11:44:39,lau,Cripta de nivel 10
2026-03-02 11:44:42,Saberflame,Cripta épica de nivel 25
2026-03-02 11:44:50,Saberflame,Cripta épica de nivel 30
2026-03-02 11:44:54,Saberflame,Cripta épica de nivel 25
2026-03-02 11:44:58,Saberflame,Cripta épica de nivel 20
2026-03-02 11:45:02,Saberflame,Cripta épica de nivel 30
2026-03-02 11:45:06,Saberflame,Cripta épica de nivel 25
2026-03-02 11:45:09,Saberflame,Cripta de nivel 25
2026-03-02 11:45:16,Saberflame,Cripta épica de nivel 30
2026-03-02 11:45:26,lau,Cripta de nivel 15
2026-03-02 11:45:29,lau,Cripta de nivel 15
2026-03-02 11:45:33,BIALEX,Cripta de nivel 10
2026-03-02 11:45:39,BIALEX,Cripta de nivel 15
2026-03-02 11:45:43,lau,Cripta de nivel 10
2026-03-02 11:45:47,lau,Cripta épica de nivel 15
2026-03-02 11:45:50,Dardaen,Cripta de nivel 10
2026-03-02 11:45:56,Dardaen,Cripta de nivel 10
2026-03-02 11:46:00,Pocoyitaaa,Cripta de nivel 10
2026-03-02 11:46:06,Pocoyitaaa,Cripta de nivel 10
2026-03-02 11:46:10,Pocoyitaaa,Cripta de nivel 10
2026-03-02 11:46:13,Pocoyitaaa,Cripta de nivel 10
2026-03-02 11:46:18,Pocoyitaaa,Cripta de nivel 10
2026-03-02 11:46:21,Pocoyitaaa,Cripta de nivel 10
2026-03-02 11:46:25,Pocoyitaaa,Cripta de nivel 10
2026-03-02 11:46:29,Pocoyitaaa,Cripta de nivel 10
2026-03-02 11:46:33,Pocoyitaaa,Cripta de nivel 10
2026-03-02 11:46:37,Pocoyitaaa,Cripta de nivel 10
2026-03-02 11:46:41,Faledo.,Cripta de nivel 20
2026-03-02 11:46:45,lau,Cripta épica de nivel 15
2026-03-02 11:46:49,Pocoyitaaa,Cripta de nivel 10
2026-03-02 11:46:52,Pocoyitaaa,Cripta rara de nivel.10
2026-03-02 11:46:56,FrancescaRomana,Cripta de nivel 10
2026-03-02 11:47:01,Nemean,Cripta de nivel 20
2026-03-02 11:47:05,Nemean,Cripta de nivel 20
2026-03-02 11:47:10,Nemean,Cripta de nivel 20
2026-03-02 11:47:14,Nemean,Cripta de nivel 20
2026-03-02 11:47:18,Nemean,Cripta de nivel 20
2026-03-02 11:47:22,Nemean,Cripta de nivel 20
2026-03-02 11:47:25,Nemean,Cripta de nivel 20
2026-03-02 11:47:30,Nemean,Cripta de nivel 20
2026-03-02 11:47:34,Mared,Cripta de nivel 15
2026-03-02 11:47:39,Mared,Cripta de nivel 15
2026-03-02 11:47:43,Mauro,Cripta de nivel 25
2026-03-02 11:47:48,Mauro,Cripta épica de nivel 20
2026-03-02 11:47:51,Nemean,Cripta de nivel 20
2026-03-02 11:47:56,Aaron,Cripta de nivel 15
2026-03-02 11:48:00,Aaron,Cripta de nivel 10
2026-03-02 11:48:05,Aaron,Cripta de nivel 10
2026-03-02 11:48:09,Aaron,Cripta de nivel 15
2026-03-02 11:48:13,Burilen,Cripta de nivel 10
2026-03-02 11:48:16,Burilen,Cripta de nivel 15
2026-03-02 11:48:20,Burilen,Cripta de nivel 10
2026-03-02 11:48:24,Keradred,Cripta épica de nivel 15
2026-03-02 11:48:29,Keradred,Cripta épica de nivel 15
2026-03-02 11:48:37,Burilen,Cripta de nivel 15
2026-03-02 11:48:48,Keradred,Cripta de nivel 10
2026-03-02 11:48:52,Keradred,Cripta de nivel 15
2026-03-02 11:48:56,BenXander,Cripta épica de nivel 20
2026-03-02 11:49:01,BenXander,Cripta épica de nivel 20
2026-03-02 11:49:06,BenXander,Cripta épica de nivel 20
2026-03-02 11:49:10,BenXander,Cripta épica de nivel 20
2026-03-02 11:49:14,BenXander,Cripta épica de nivel 20
2026-03-02 11:49:18,BenXander,Cripta de nivel 20
2026-03-02 11:49:21,BenXander,Cripta de nivel 20
2026-03-02 11:49:26,BenXander,Cripta de nivel 20
2026-03-02 11:49:31,BenXander,Cripta de nivel 20
2026-03-02 11:49:36,BenXander,Cripta de nivel 20
2026-03-02 11:49:40,Mared,Cripta de nivel 5
2026-03-02 11:49:43,Mared,Cripta de nivel 5
2026-03-02 11:49:48,Biin,Cripta de nivel 15
2026-03-02 11:49:51,FrancescaRomana,Cripta de nivel 10
2026-03-02 11:49:57,FrancescaRomana,Cripta de nivel 10
2026-03-02 11:50:00,Mared,Cripta de nivel 15
2026-03-02 11:50:06,FrancescaRomana,Cripta de nivel 10
2026-03-02 11:50:10,FrancescaRomana,Cripta de nivel 10
2026-03-02 11:50:13,Mared,Cripta de nivel 10
2026-03-02 11:50:17,lau,Cripta de nivel 15
2026-03-02 11:50:22,Mared,Cripta de nivel 10
2026-03-02 11:50:26,lau,Cripta de nivel 15
2026-03-02 11:50:30,Biin,Cripta de nivel 10
2026-03-02 11:50:34,Burilen,Cripta de nivel 15
2026-03-02 11:50:39,Mared,Cripta de nivel 10
2026-03-02 11:50:43,lau,Cripta de nivel 15
2026-03-02 11:50:49,Mared,Cripta de nivel 15
2026-03-02 11:50:52,lau,Cripta de nivel 15
2026-03-02 11:50:56,Boy Name.,-Ciudadela de nivel 20
2026-03-02 11:50:59,lau,Cripta de nivel 15
2026-03-02 11:51:05,lau,Cripta de nivel 15
2026-03-02 11:51:08,Boy Name.,-Ciudadela de nivel 20
2026-03-02 11:51:13,lau,Cripta de nivel 10
2026-03-02 11:51:17,manuelhh,Cripta de nivel 5
